UKPRN,PROVIDER_NAME,UPDATED
10013109,London Bridge Business Academy,04/09/2018
10014001,University of Suffolk,04/09/2018
10015506,The London College UCK,04/09/2018
10019178,Point Blank Music School,04/09/2018
10019746,ABI College Limited,04/09/2018
10020416,Mattersey Hall,04/09/2018
10020439,Oxford Business College,04/09/2018
10020883,Eastwood Park Limited,04/09/2018
10021100,Regents Theological College,04/09/2018
10021682,Kaplan Open Learning,04/09/2018
10022021,UK College of Business and Computing,04/09/2018
10022047,Empire College London Limited,04/09/2018
10022087,Futureworks,04/09/2018
10022285,London School of Management Education,04/09/2018
10022944,Stratford College London Limited,04/09/2018
10023139,LTE Group,04/09/2018
10023290,West London College of Business and Management Sciences Limited,04/09/2018
10023452,The Markfield Institute of Higher Education,04/09/2018
10023453,Matrix College of Counselling and Psychotherapy Ltd,04/09/2018
10023454,Moorlands College,04/09/2018
10023464,Trinity College Bristol,04/09/2018
10023526,South Staffordshire College,04/09/2018
10023777,Mont Rose College of Management and Sciences,04/09/2018
10024962,Leeds City College,04/09/2018
10028216,Brit College,04/09/2018
10029682,The Islamic College,04/09/2018
10030129,Nelson College London Ltd,04/09/2018
10030391,London Churchill College Ltd,04/09/2018
10030408,Gower College Swansea,04/09/2018
10030776,St Mellitus College,04/09/2018
10031239,Liverpool Media Academy Limited,04/09/2018
10031982,BPP University,04/09/2018
10032072,The Cambridge Theological Federation,04/09/2018
10032282,The Queen's Foundation for Ecumenical Theological Education,04/09/2018
10032288,West Dean College,04/09/2018
10032351,Bodmin College,04/09/2018
10033187,Fairfield School of Business Ltd,04/09/2018
10034324,Court Theatre Training Company Ltd,04/09/2018
10034450,Cardiff and Vale College,04/09/2018
10035638,Institute of Contemporary Music Performance,04/09/2018
10036143,South Gloucestershire and Stroud College,04/09/2018
10036456,Backstage Academy (Training) Ltd,04/09/2018
10037344,Easton and Otley College,04/09/2018
10037449,University of St Mark and St John,04/09/2018
10037544,BIMM Limited,04/09/2018
10038763,ForMission Ltd,04/09/2018
10039082,City and Guilds of London Art School,04/09/2018
10039956,The University of Law,04/09/2018
10039958,Birmingham Community NHS Trust,04/09/2018
10040812,Harper Adams University,04/09/2018
10041295,Coleg Cambria,04/09/2018
10041563,Shockout Arts,04/09/2018
10041898,Apex College London,04/09/2018
10042364,Ballet West,04/09/2018
10042500,Global Banking School Limited,04/09/2018
10042570,Pearson College,04/09/2018
10043164,UCFB College of Football Business Limited,04/09/2018
10043208,SCL Education and Training Limited,04/09/2018
10045289,St Nicholas Montessori Training Limited,04/09/2018
10045476,Met Film School Limited,04/09/2018
10046069,DIME Online,04/09/2018
10047949,Wildcats,04/09/2018
10048199,New College of the Humanities,04/09/2018
10053279,The Sherwood Institute,04/09/2018
10060725,Whitefield Academy Trust (Academy Trust),04/09/2018
99999997,Medway School of Pharmacy,04/09/2018
99999998,Hull York Medical School,04/09/2018
99999999,Brighton and Sussex Medical School,04/09/2018
10000536,Barnsley College,18/09/2018
10001282,University of Northumbria at Newcastle,18/09/2018
10001474,City of Stoke-On-Trent Sixth Form College,18/09/2018
10003614,The University of Winchester,18/09/2018
10003863,Leeds Trinity University,18/09/2018
10004078,London South Bank University,18/09/2018
10005127,Plymouth College of Art,18/09/2018
10006299,Staffordshire University,18/09/2018
10007149,The University of Hull,18/09/2018
10007154,University of Nottingham,18/09/2018
10007842,University of Cumbria,18/09/2018
10003678,Kingston University,25/09/2018
10004603,Newcastle and Stafford Colleges Group,25/09/2018
10006299,Staffordshire University,25/09/2018
10006349,Stoke On Trent College,25/09/2018
10007137,The University of Chichester,25/09/2018
10007148,The University of Huddersfield,25/09/2018
10007149,The University of Hull,25/09/2018
10007790,The University of Edinburgh,25/09/2018
