UKPRN,PROVIDER_NAME,KISCOURSEID,KISMODE,COURSE_TITLE,DATASET_ITEM_AFFECTED,SBJ,WEBSITE_SECTION,DATE,NOTES
10006299,Staffordshire University,SSTK-11206,2,Computer Games Design,JOBTYPE,,Employment & accreditation,25/09/2018,Removed
10006299,Staffordshire University,SSTK-11206,2,Computer Games Design,SALARY,CAH11-01,Employment & accreditation,25/09/2018,New
10006299,Staffordshire University,SSTK-11206,2,Computer Games Design,SALARY,,Employment & accreditation,25/09/2018,Removed
10006299,Staffordshire University,SSTK-11208,2,Computer Games Design and Programming,COMMON,CAH11-01,Employment & accreditation,25/09/2018,New
10006299,Staffordshire University,SSTK-11208,2,Computer Games Design and Programming,COMMON,,Employment & accreditation,25/09/2018,Removed
10006299,Staffordshire University,SSTK-11208,2,Computer Games Design and Programming,DEGREECLASS,CAH11-01,Continuation & degree results,25/09/2018,New
10006299,Staffordshire University,SSTK-11208,2,Computer Games Design and Programming,DEGREECLASS,,Continuation & degree results,25/09/2018,Removed
10006299,Staffordshire University,SSTK-11208,2,Computer Games Design and Programming,EMPLOYMENT,CAH11-01,Employment & accreditation,25/09/2018,New
10006299,Staffordshire University,SSTK-11208,2,Computer Games Design and Programming,EMPLOYMENT,,Employment & accreditation,25/09/2018,Removed
10006299,Staffordshire University,SSTK-11208,2,Computer Games Design and Programming,JOBTYPE,CAH11-01,Employment & accreditation,25/09/2018,New
10006299,Staffordshire University,SSTK-11208,2,Computer Games Design and Programming,JOBTYPE,,Employment & accreditation,25/09/2018,Removed
10006299,Staffordshire University,SSTK-11208,2,Computer Games Design and Programming,SALARY,CAH11-01,Employment & accreditation,25/09/2018,New
10006299,Staffordshire University,SSTK-11208,2,Computer Games Design and Programming,SALARY,,Employment & accreditation,25/09/2018,Removed
10006299,Staffordshire University,SSTK-11221,2,Sound Design,COMMON AND/OR JOBLIST,CAH10,Employment & accreditation,25/09/2018,Updated
10006299,Staffordshire University,SSTK-11221,2,Sound Design,CONTINUATION,CAH10,Continuation & degree results,25/09/2018,Updated
10006299,Staffordshire University,SSTK-11221,2,Sound Design,DEGREECLASS,CAH10,Continuation & degree results,25/09/2018,Updated
10006299,Staffordshire University,SSTK-11221,2,Sound Design,EMPLOYMENT,CAH10,Employment & accreditation,25/09/2018,Updated
10006299,Staffordshire University,SSTK-11221,2,Sound Design,ENTRY,CAH10,Entry information,25/09/2018,Updated
10006299,Staffordshire University,SSTK-11221,2,Sound Design,JOBTYPE,CAH10,Employment & accreditation,25/09/2018,Updated
10006299,Staffordshire University,SSTK-11221,2,Sound Design,NSS,CAH10,Student satisfaction,25/09/2018,Updated
10006299,Staffordshire University,SSTK-11221,2,Sound Design,SALARY,CAH10,Employment & accreditation,25/09/2018,Updated
10006299,Staffordshire University,SSTK-11228,2,Games Studies,COMMON,CAH11-01,Employment & accreditation,25/09/2018,New
10006299,Staffordshire University,SSTK-11228,2,Games Studies,COMMON,,Employment & accreditation,25/09/2018,Removed
10006299,Staffordshire University,SSTK-11228,2,Games Studies,DEGREECLASS,CAH11-01,Continuation & degree results,25/09/2018,New
10006299,Staffordshire University,SSTK-11228,2,Games Studies,DEGREECLASS,,Continuation & degree results,25/09/2018,Removed
10006299,Staffordshire University,SSTK-11228,2,Games Studies,EMPLOYMENT,CAH11-01,Employment & accreditation,25/09/2018,New
10006299,Staffordshire University,SSTK-11228,2,Games Studies,EMPLOYMENT,,Employment & accreditation,25/09/2018,Removed
10006299,Staffordshire University,SSTK-11228,2,Games Studies,JOBTYPE,CAH11-01,Employment & accreditation,25/09/2018,New
10006299,Staffordshire University,SSTK-11228,2,Games Studies,JOBTYPE,,Employment & accreditation,25/09/2018,Removed
10006299,Staffordshire University,SSTK-11228,2,Games Studies,SALARY,CAH11-01,Employment & accreditation,25/09/2018,New
10006299,Staffordshire University,SSTK-11228,2,Games Studies,SALARY,,Employment & accreditation,25/09/2018,Removed
10006299,Staffordshire University,SSTK-11352,1,Biological Science,COMMON,,Employment & accreditation,25/09/2018,New
10006299,Staffordshire University,SSTK-11352,1,Biological Science,COMMON,CAH03-01,Employment & accreditation,25/09/2018,Removed
10006299,Staffordshire University,SSTK-11352,1,Biological Science,CONTINUATION,,Continuation & degree results,25/09/2018,New
10006299,Staffordshire University,SSTK-11352,1,Biological Science,CONTINUATION,CAH03-01,Continuation & degree results,25/09/2018,Removed
10006299,Staffordshire University,SSTK-11352,1,Biological Science,DEGREECLASS,,Continuation & degree results,25/09/2018,New
10006299,Staffordshire University,SSTK-11352,1,Biological Science,DEGREECLASS,CAH03-01,Continuation & degree results,25/09/2018,Removed
10006299,Staffordshire University,SSTK-11352,1,Biological Science,EMPLOYMENT,,Employment & accreditation,25/09/2018,New
10006299,Staffordshire University,SSTK-11352,1,Biological Science,EMPLOYMENT,CAH03-01,Employment & accreditation,25/09/2018,Removed
10006299,Staffordshire University,SSTK-11352,1,Biological Science,ENTRY,,Entry information,25/09/2018,New
10006299,Staffordshire University,SSTK-11352,1,Biological Science,ENTRY,CAH03-01,Entry information,25/09/2018,Removed
10006299,Staffordshire University,SSTK-11352,1,Biological Science,JOBTYPE,,Employment & accreditation,25/09/2018,New
10006299,Staffordshire University,SSTK-11352,1,Biological Science,JOBTYPE,CAH03-01,Employment & accreditation,25/09/2018,Removed
10006299,Staffordshire University,SSTK-11352,1,Biological Science,NHSNSS,,Student satisfaction,25/09/2018,Updated
10006299,Staffordshire University,SSTK-11352,1,Biological Science,NSS,,Student satisfaction,25/09/2018,New
10006299,Staffordshire University,SSTK-11352,1,Biological Science,NSS,CAH03-01,Student satisfaction,25/09/2018,Removed
10006299,Staffordshire University,SSTK-11352,1,Biological Science,SALARY,CAH03,Employment & accreditation,25/09/2018,Updated
10006299,Staffordshire University,SSTK-11352,1,Biological Science,LEO,CAH03-01,Employment & accreditation,25/09/2018,New
10006299,Staffordshire University,SSTK-11352,1,Biological Science,LEO,,Employment & accreditation,25/09/2018,Removed
10006299,Staffordshire University,SSTK-11352,1,Biological Science,TARIFF,CAH03-01-02,Entry information,25/09/2018,New
10006299,Staffordshire University,SSTK-11352,1,Biological Science,TARIFF,CAH03-01,Entry information,25/09/2018,Removed
10006299,Staffordshire University,SSTK-11630,1,Graphic Communication (Illustration),COMMON,CAH21-01-03,Employment & accreditation,25/09/2018,Updated
10006299,Staffordshire University,SSTK-11630,1,Graphic Communication (Illustration),CONTINUATION,,Continuation & degree results,25/09/2018,New
10006299,Staffordshire University,SSTK-11630,1,Graphic Communication (Illustration),CONTINUATION,CAH21-01-03,Continuation & degree results,25/09/2018,Removed
10006299,Staffordshire University,SSTK-11630,1,Graphic Communication (Illustration),DEGREECLASS,,Continuation & degree results,25/09/2018,New
10006299,Staffordshire University,SSTK-11630,1,Graphic Communication (Illustration),DEGREECLASS,CAH21-01-03,Continuation & degree results,25/09/2018,Removed
10006299,Staffordshire University,SSTK-11630,1,Graphic Communication (Illustration),EMPLOYMENT,,Employment & accreditation,25/09/2018,New
10006299,Staffordshire University,SSTK-11630,1,Graphic Communication (Illustration),EMPLOYMENT,CAH21-01-03,Employment & accreditation,25/09/2018,Removed
10006299,Staffordshire University,SSTK-11630,1,Graphic Communication (Illustration),ENTRY,,Entry information,25/09/2018,New
10006299,Staffordshire University,SSTK-11630,1,Graphic Communication (Illustration),ENTRY,CAH21-01-03,Entry information,25/09/2018,Removed
10006299,Staffordshire University,SSTK-11630,1,Graphic Communication (Illustration),JOBTYPE,CAH21-01-03,Employment & accreditation,25/09/2018,Updated
10006299,Staffordshire University,SSTK-11630,1,Graphic Communication (Illustration),NHSNSS,,Student satisfaction,25/09/2018,Updated
10006299,Staffordshire University,SSTK-11630,1,Graphic Communication (Illustration),NSS,,Student satisfaction,25/09/2018,New
10006299,Staffordshire University,SSTK-11630,1,Graphic Communication (Illustration),NSS,CAH21-01-03,Student satisfaction,25/09/2018,Removed
10006299,Staffordshire University,SSTK-11630,1,Graphic Communication (Illustration),SALARY,,Employment & accreditation,25/09/2018,Updated
10006299,Staffordshire University,SSTK-11630,1,Graphic Communication (Illustration),TARIFF,,Entry information,25/09/2018,New
10006299,Staffordshire University,SSTK-11630,1,Graphic Communication (Illustration),TARIFF,CAH21-01-03,Entry information,25/09/2018,Removed
10006299,Staffordshire University,SSTK-11662,1,Aeronautical Engineering,COMMON,,Employment & accreditation,25/09/2018,New
10006299,Staffordshire University,SSTK-11662,1,Aeronautical Engineering,COMMON,CAH10-01-04,Employment & accreditation,25/09/2018,Removed
10006299,Staffordshire University,SSTK-11662,1,Aeronautical Engineering,CONTINUATION,,Continuation & degree results,25/09/2018,New
10006299,Staffordshire University,SSTK-11662,1,Aeronautical Engineering,CONTINUATION,CAH10-01-04,Continuation & degree results,25/09/2018,Removed
10006299,Staffordshire University,SSTK-11662,1,Aeronautical Engineering,DEGREECLASS,,Continuation & degree results,25/09/2018,New
10006299,Staffordshire University,SSTK-11662,1,Aeronautical Engineering,DEGREECLASS,CAH10-01-04,Continuation & degree results,25/09/2018,Removed
10006299,Staffordshire University,SSTK-11662,1,Aeronautical Engineering,EMPLOYMENT,,Employment & accreditation,25/09/2018,New
10006299,Staffordshire University,SSTK-11662,1,Aeronautical Engineering,EMPLOYMENT,CAH10-01-04,Employment & accreditation,25/09/2018,Removed
10006299,Staffordshire University,SSTK-11662,1,Aeronautical Engineering,ENTRY,,Entry information,25/09/2018,New
