KISCOURSEID,SBJ
BA-DIGAN-SW,CAH21-01-08
BA-DRA,CAH21-01-06
BA-DRA-SW,CAH21-01-06
BA-DRAMT,CAH21-01-06
BA-DRAMT-SW,CAH21-01-05
BA-DRAWP,CAH21-01-06
BA-DRAWP-SW,CAH21-01-06
BA-ECS,CAH22-01-01
BA-ECS-SW,CAH22-01-01
BA-EDAAR,CAH21-01-02
BA-EDAAR,CAH22-01-01
BA-EDABM,CAH17-01-02
BA-EDABM,CAH22-01-01
BA-EDACW,CAH22-01-01
BA-EDACW,CAH19-01-05
BA-EDADAN,CAH22-01-01
BA-EDADAN,CAH21-01-07
BA-EDADRA,CAH21-01-06
BA-EDADRA,CAH22-01-01
BA-EDAEN,CAH22-01-01
BA-EDAEN,CAH19-01-03
BA-EDAHY,CAH20-01-01
BA-EDAHY,CAH22-01-01
BA-EDAMC,CAH22-01-01
BA-EDAMC,CAH18-01-05
BA-EDAMU,CAH21-01-05
BA-EDAMU,CAH22-01-01
BA-EDASR,CAH22-01-01
BA-EDASR,CAH20-02-02
BA-EDATD,CAH21-01-03
BA-EDATD,CAH22-01-01
BA-EDSECAAR,CAH22-01-01
BA-EDSECABI,CAH22-01-01
BA-EDSECABI,CAH03-01-02
BA-EDSECADRA,CAH21-01-06
BA-EDSECADRA,CAH22-01-01
BA-EDSECAEN,CAH22-01-01
BA-EDSECAEN,CAH19-01-03
BA-EDSECAMU,CAH22-01-01
BA-EDSECAMU,CAH21-01-05
BA-EDSECASR,CAH22-01-01
BA-EDSECASR,CAH20-02-02
BA-EN,CAH19-01-03
BA-EN-SW,CAH22-01-01
BA-ES,CAH22-01-01
BA-ES-SW,CAH22-01-01
BA-FD,CAH21-01-03
BA-FD-FY,CAH21-01-03
BA-FD-SW,CAH21-01-03
BA-FINEART,CAH21-01-02
BA-FINEART-FY,CAH21-01-02
BA-FINEART-SW,CAH21-01-02
BA-FMM,CAH17-01-03
BA-FMM-SW,CAH17-01-03
BA-FPD,CAH21-01-03
BA-FPD-FY,CAH21-01-03
BA-FPD-SW,CAH21-01-03
BA-FSS,CAH18-01-05
BA-FSS-SW,CAH18-01-05
BA-FTD,CAH21-01-03
BA-FTD-FY,CAH21-01-03
BA-FTD-SW,CAH21-01-03
BA-FTV,CAH18-01-05
BA-FTV-SW,CAH18-01-05
BA-GE-HU-SW,CAH12-01-03
BA-GEHU,CAH12-01-03
BA-GRAPHCOM,CAH21-01-03
BA-GRAPHCOM-FY,CAH21-01-03
BA-GRAPHCOM-SW,CAH21-01-03
BA-HAD,CAH21-01-09
BA-HAD-FY,CAH20-01-02
BA-HAD-SW,CAH20-01-02
BA-HHP,CAH20-01-01
BA-HHP,CAH20-01-04
BA-HHP-SW,CAH20-01-04
BA-HHP-SW,CAH20-01-01
BA-HY,CAH20-01-01
BA-HY-SW,CAH20-01-01
BA-JP,CAH18-01-03
BA-JP,CAH18-01-04
BA-JP-SW,CAH18-01-03
BA-JP-SW,CAH18-01-04
BA-LEFP,CAH17-01-02
BA-LEFP-SW,CAH17-01-02
BA-MC,CAH18-01-05
BA-MC-SW,CAH18-01-05
BA-MT,CAH21-01-05
BA-MT-SW,CAH21-01-05
BA-MTGIM,CAH21-01-05
BA-MTGIM-SW,CAH21-01-05
BA-MUCM,CAH21-01-05
BA-MUCM-SW,CAH21-01-05
BA-MUJZ,CAH21-01-05
BA-MUJZ-SW,CAH21-01-05
BA-MUS,CAH21-01-05
BA-MUS-SW,CAH21-01-05
BA-MUVP,CAH21-01-05
BA-MUVP-SW,CAH21-01-05
BA-PH,CAH21-01-08
BA-PH-FY,CAH21-01-08
BA-PH-SW,CAH21-01-08
BA-RPE,CAH20-02-02
BA-RPE,CAH20-02-01
BA-RPE-SW,CAH21-01-06
BA-TDP,CAH21-01-06
BA-TDP-SW,CAH21-01-06
BAMA-CM,CAH21-01-05
BS-BI,CAH03-01-02
BS-BI-SW,CAH03-01-02
BS-BICB,CAH03-01-02
BS-BICB-SW,CAH03-01-03
BS-BIHB,CAH03-01-02
BS-BIHB-SW,CAH03-01-02
BS-CCAN,CAH11-01-01
BS-CCAN-SW,CAH11-01-08
BS-CCGM,CAH11-01-01
BS-CCGM-SW,CAH11-01-08
BS-CCWT-SW,CAH11-01-08
BS-CRI,CAH15-01-02
BS-CRI-SW,CAH15-01-02
BS-EDABI,CAH03-01-02
BS-EDABI,CAH22-01-01
BS-EDAGE,CAH22-01-01
BS-EDAGE,CAH12-01-02
BS-EDAPS,CAH22-01-01
BS-EDAPS,CAH04-01-01
BS-EDASC,CAH22-01-01
BS-EDASC,CAH15-01-02
BS-EV,CAH12-01-04
BS-EV-SW,CAH12-01-04
BS-FS,CAH02-03-02
BS-FS-SW,CAH02-03-02
BS-GDS,CAH12-01-02
BS-GDS-SW,CAH12-01-01
BS-GE,CAH12-01-02
BS-GE-PH-SW,CAH12-01-02
BS-GE-SW,CAH12-01-01
BS-GEPH,CAH12-01-02
BS-HN,CAH02-03-02
BS-HN-SW,CAH02-03-02
BS-PS,CAH04-01-01
BS-PS-SW,CAH04-01-01
BS-SC,CAH15-01-02
BS-SC-SW,CAH15-01-02
FD-CCPT,CAH21-01-06
MOD-BIABM,CAH17-01-02
MOD-BIABM,CAH03-01-02
MOD-BIABM-SW,CAH03-01-02
MOD-BIABM-SW,CAH17-01-02
MOD-BIACRI,CAH03-01-02
MOD-BIACRI,CAH15-01-02
MOD-BIACRI-SW,CAH03-01-02
MOD-BIACRI-SW,CAH15-01-02
MOD-BIACW,CAH03-01-02
MOD-BIACW,CAH19-01-05
MOD-BIACW-SW,CAH03-01-02
MOD-BIACW-SW,CAH19-01-05
MOD-BIADAN,CAH03-01-02
MOD-BIADAN,CAH21-01-07
MOD-BIADAN-SW,CAH03-01-02
MOD-BIADAN-SW,CAH21-01-07
MOD-BIADRA,CAH03-01-02
MOD-BIADRA,CAH21-01-06
MOD-BIADRA-SW,CAH03-01-02
MOD-BIADRA-SW,CAH21-01-06
MOD-BIAED,CAH03-01-02
MOD-BIAED,CAH22-01-01
MOD-BIAED-SW,CAH22-01-01
MOD-BIAED-SW,CAH03-01-02
MOD-BIAEN,CAH03-01-02
MOD-BIAEN,CAH19-01-03
MOD-BIAEN-SW,CAH03-01-02
MOD-BIAEN-SW,CAH19-01-03
MOD-BIAFI,CAH03-01-02
MOD-BIAFI,CAH18-01-05
MOD-BIAFI-SW,CAH03-01-02
MOD-BIAFI-SW,CAH18-01-05
MOD-BIAGE,CAH12-01-02
MOD-BIAGE,CAH03-01-02
MOD-BIAGE-SW,CAH12-01-01
MOD-BIAGE-SW,CAH03-01-02
MOD-BIAHY,CAH20-01-01
MOD-BIAHY,CAH03-01-02
MOD-BIAHY-SW,CAH03-01-02
MOD-BIAHY-SW,CAH20-01-01
MOD-BIAMC,CAH03-01-02
MOD-BIAMC,CAH18-01-05
MOD-BIAMC-SW,CAH18-01-05
MOD-BIAMC-SW,CAH03-01-02
MOD-BIAMU,CAH03-01-02
MOD-BIAMU,CAH21-01-05
MOD-BIAMU-SW,CAH21-01-05
MOD-BIAMU-SW,CAH03-01-02
MOD-BIAPE,CAH03-01-02
MOD-BIAPE,CAH20-02-01
MOD-BIAPE-SW,CAH20-02-01
MOD-BIAPE-SW,CAH03-01-02
MOD-BIAPS,CAH04-01-01
MOD-BIAPS,CAH03-01-02
MOD-BIAPS-SW,CAH04-01-01
MOD-BIAPS-SW,CAH03-01-02
MOD-BIASC,CAH03-01-02
MOD-BIASC,CAH15-01-02
MOD-BIASC-SW,CAH03-01-02
MOD-BIASC-SW,CAH15-01-02
MOD-BIASR,CAH03-01-02
MOD-BIASR,CAH20-02-02
MOD-BIASR-SW,CAH03-01-02
MOD-BIASR-SW,CAH20-02-02
MOD-BMACC,CAH11-01-01
MOD-BMACC,CAH17-01-02
MOD-BMACC-SW,CAH11-01-08
MOD-BMACC-SW,CAH17-01-02
